ANEX_NAME,ANEX_NUM,RESOLUTION,ORDINANCE,ACREAGE,ANEX_DATE,CUR_STATUS,DANEX_DATE,PART_AREA,CUM_SQ_MI,ANNEX_ID
Boynton No_5,183,0,5282,9.92,19560921000000,Annexed,,No,30.92,184
Carlton No_4,184,0,5289,0.74,19560928000000,Annexed,,No,30.92,185
Madera No_4-B,185,0,5309,46.3,19561015000000,Annexed,,No,30.99,186
Cypress No_2-A,246,13657,0,26.18,19570613000000,Annexed,,No,34.66,249
Easterbrook No_9,247,13427,0,23.04,19570620000000,Annexed,,No,34.69,250
Brundage Tract,20,0,3256,10.62,19461108000000,Annexed,,No,15.25,23
Kaiser Comm Homes No_2,21,0,0,124.59,19491211000000,Annexed,,No,15.44,24
East Gate No_4,22,0,0,7.99,19470110000000,Annexed,,No,15.46,25
Doyle No_2-B,199,0,5461,33.6,19561214000000,Annexed,,Yes,31.85,3055
Burbank No_1,24,0,3313,64.78,19470227000000,Annexed,,No,15.62,27
Rogers No_1,25,0,0,54.85,19470328000000,Annexed,,No,15.71,28
Haas Property,26,7579,0,76.75,19470902000000,Annexed,,No,15.83,29
Moreland No_3,109,0,4687,84.59,19550518000000,Annexed,,No,23.97,110
Lone Hill No_2,110,12961,4697,7.67,19550603000000,Annexed,,No,23.98,111
Lone Hill No_3,111,0,0,6.7,19550603000000,Annexed,,No,23.99,112
Union No_2,112,0,4699,52.56,19550603000000,Annexed,,No,24.07,113
Lone Hill No_1,113,0,4706,241.01,19550609000000,Annexed,,No,24.45,114
Cottage Grove No_5,114,0,0,2.54,19550624000000,Annexed,,No,24.45,115
Hillview No_5,186,0,5310,61.22,19561015000000,Annexed,,No,31.09,187
Hillview No_8,187,0,5311,119.93,19561015000000,Annexed,,No,31.28,188
Monterey Park No_8,189,0,5344,8.97,19561101000000,Annexed,,No,31.3,190
Easterbrook No_7,190,0,5345,0.59,19561101000000,Annexed,,No,31.3,191
Easterbrook No_6,248,13428,0,39.02,19570620000000,Annexed,,No,34.75,251
Monterey Park No_24,272,0,5798,4.71,19570829000000,Annexed,,No,36.58,276
Orchard View No_3,273,13968,0,29.12,19570829000000,Annexed,,No,36.63,277
Cottage Grove No_3,27,0,0,107.84,19471201000000,Annexed,,No,15.99,30
Rosemary Garden Unit No_2,28,0,3454,7.55,19480226000000,Annexed,,No,16.01,31
South Willow Glen No_2,29,0,3499,19.22,19480506000000,Annexed,,No,16.04,32
Orchard No_5,30,0,3535,37.46,19480810000000,Annexed,,No,16.1,33
Winchester No_1,115,0,4720,50.98,19550624000000,Annexed,,No,24.53,116
Orchard No_11,116,0,0,475.84,19550701000000,Annexed,,No,25.28,117
Airport No_2-A,117,0,4728,66.08,19550701000000,Annexed,,No,25.38,118
North San Jose No_4,118,0,4729,25.3,19550701000000,Annexed,,No,25.42,119
Carlton No_1,119,0,4730,1.12,19550701000000,Annexed,,No,25.42,120
Madera No_10,207,0,5417,35.87,19561220000000,Disannexed,19790701000000,Yes,0,209
Madera No_10,207,0,5417,28.55,19561220000000,Annexed,,Yes,32.14,210
Monterey Park No_20-A,208,0,0,35.57,19570102000000,Annexed,,No,32.19,211
Broadway No_4-A,209,13264,0,18.87,19570102000000,Annexed,,No,32.22,212
