CITY_CD_ID,DISTRICTS,CO_MEMBER,TELEPHONE,POP_2010,UNITS_2010,SQ_MILES
10,10,Johnny Khamis,535-4910,92094,32033,47.34
1,1,Charles Jones,535-4901,95817,36182,9.72
2,2,Ash Kalra,535-4902,91379,28681,43.54
3,3,Raul Peralez,535-4903,97003,34021,13.05
4,4,District 4,535-4904,99892,33047,40.62
5,5,Magdalena Carrasco,535-4905,97510,24263,17.01
6,6,Pierluigi Oliverio,535-4906,91837,39181,12.22
7,7,Tam Nguyen,535-4907,99030,26793,11.16
8,8,Rose Herrera,535-4908,97336,27363,72.81
9,9,Donald Rocha,535-4909,90714,34212,12.49
