GP_DESIGN,GP_ABBR,GP_CODE,ACRES,PLAN_COMM,COLOR_RGB,LABEL_ORDER,PID
Light Industrial,LI,,20.12,Alviso Specific Plan Area,"207, 224, 217",10,1
Light Industrial,LI,,70.3,Alviso Specific Plan Area,"207, 224, 217",10,2
Combined Industrial/Commercial,CIC,,12.64,Urban Village,"212, 97, 252",8,3
Light Industrial,LI,,0.96,,"207, 224, 217",10,4
Residential Neighborhood,RN,,5.92,,"255, 255, 133",17,3530
Residential Neighborhood,RN,,5.8,,"255, 255, 133",17,3531
Residential Neighborhood,RN,,1.28,,"255, 255, 133",17,8853
Public/Quasi-Public,PQP,,7.99,,"209, 255, 240",12,13
"Open Space, Parklands and Habitat",OSPH,,2.8,,"96, 160, 0",22,14
Residential Neighborhood,RN,,5.37,,"255, 255, 133",17,3532
Residential Neighborhood,RN,,1.17,,"255, 255, 133",17,8854
Residential Neighborhood,RN,,7.13,,"255, 255, 133",17,3047
Industrial Park,IP,,4.9,,"138, 194, 230",9,2945
Light Industrial,LI,,3.45,Martha Gardens Specific Plan,"207, 224, 217",10,8339
Public/Quasi-Public,PQP,,9.23,,"209, 255, 240",12,19
Residential Neighborhood,RN,,9.75,,"255, 255, 133",17,3046
Residential Neighborhood,RN,,6.74,,"255, 255, 133",17,3048
Public/Quasi-Public,PQP,,2.08,,"209, 255, 240",12,5
Residential Neighborhood,RN,,3.78,,"255, 255, 133",17,6
Neighborhood/Community Commercial,NCC,,0.82,,"255, 125, 189",7,7
Industrial Park,IP,,12.64,,"138, 194, 230",9,8
Mixed Use Commercial,MUC,,0.85,,"255, 177, 96",6,8357
Neighborhood/Community Commercial,NCC,,1.72,,"255, 125, 189",7,9
Neighborhood/Community Commercial,NCC,,1.14,,"255, 125, 189",7,10
Public/Quasi-Public,PQP,,7.39,,"209, 255, 240",12,11
Residential Neighborhood,RN,,4.14,,"255, 255, 133",17,3559
Mixed Use Neighborhood,MUN,,11.63,,"207, 161, 22",16,34
Public/Quasi-Public,PQP,,7.66,,"209, 255, 240",12,35
"Open Space, Parklands and Habitat",OSPH,,11.63,,"96, 160, 0",22,36
Residential Neighborhood,RN,,18.3,,"255, 255, 133",17,6011
Residential Neighborhood,RN,,11.37,,"255, 255, 133",17,6012
Residential Neighborhood,RN,,3.11,,"255, 255, 133",17,3667
