STM_OTF_ID,COMPKEY,COMPTYPE,TYPE,PCD_TYPE,PCD_IN_DAT,PCD_MANUF,STATUS,FLAP_BRAND,AGENCY,OWNER,QTR_PANEL,WATERWAY,MAJ_W_SHED,LONG_NAD83,LAT_NAD83,DETAL_LINK,QUALTY_LEV,REC_DRAW,OTH_PN_CRE,OTH_PN_MOD,CONST_DATE,ACCEP_DATE,AT_MOD_DAT,GE_MOD_DAT,MESSAGE
349,,87,Pipe,,,,EXISTING,Waterman,,San Jose,114B,Guadalupe River,Guadalupe River,-121.877465,37.276726,,C2,0,MGE,,,,20110916122544,20110612111145,MRF:Can't locate the Outfall from Google Earth or Orthophoto
350,,87,Riprap,,,,EXISTING,,,San Jose,128A,Ross Creek,Guadalupe River,-121.907532,37.254328,,C2,0,MGE,,,,20110916122544,20110612111145,MRF:Can't locate the outfall from Google Earth or Orthophoto
351,,87,Riprap,,,,EXISTING,,,San Jose,128A,Ross Creek,Guadalupe River,-121.906264,37.256014,,C2,0,MGE,,,,20110916122544,20110612111146,MRF:Can't locate the outfall from Google Earth or Orthophoto
352,,87,Riprap,,,,EXISTING,,,San Jose,128A,Ross Creek,Guadalupe River,-121.904707,37.257981,,C2,0,MGE,,,,20110916122544,20110612111147,MRF:Can't locate the Outfall from Google Earth or Orthophoto
353,,87,Riprap,,,,EXISTING,Armco,,San Jose,114B,Guadalupe River,Guadalupe River,-121.877339,37.275982,,C2,0,MGE,,,,20110916122544,20110612111147,
354,,87,Pipe,,,,EXISTING,,,San Jose,114B,Guadalupe River,Guadalupe River,-121.877309,37.27593,,C2,0,MGE,,,,20110916122544,20110612111148,
357,,87,Pipe,,,,EXISTING,,,San Jose,128A,Ross Creek,Guadalupe River,-121.903122,37.259158,,C2,0,MGE,,,,20110916122544,20110612111149,MRF:Can't locate the outfall from Google Earth or Orthophoto
359,,87,Pipe,,,,EXISTING,,,San Jose,114D,Guadalupe River,Guadalupe River,-121.878518,37.271073,,C2,0,MGE,,,,20110916122544,20110620114506,MRF:Can't locate the Outfall from Google Earth or Orthophoto
361,,87,Pipe,,,,EXISTING,,,San Jose,114D,Guadalupe River,Guadalupe River,-121.878599,37.269981,,C2,0,MGE,,,,20110916122544,20110612111150,MRF:Can't locate the Outfall from Google Earth or Orthophoto
363,,87,Riprap,,,,EXISTING,,,San Jose,114C,Ross Creek,Guadalupe River,-121.901266,37.259733,,C2,0,MGE,,,,20110916122544,20110612111151,MRF:Can't locate the Outfall from Google Earth or Orthophoto
