STM_O_D_ID,TYPE,PCD_TYPE,PCD_IN_DAT,PCD_MANUF,STATUS,MATERIAL,PURPOSE,USE,LOCATION,OWNER,QTR_PANEL,WIDTH,LENGTH,DEPTH,OUTLET_INV,SHAPE,REC_DRAW,OTH_PN_CRE,OTH_PN_MOD,CONST_DATE,ACCEP_DATE,AT_MOD_DAT,GE_MOD_DAT,MESSAGE
103,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,RIGHT-OF-WAY,San Jose,115D,2,,,,V Channel,0,MGE,,,,20110916122547,20110930221325,
104,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,115D,2,,,,V Channel,0,MGE,,,,20110916122547,20110930221326,
105,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,116A,,,,,V Channel,0,MGE,,,,20110916122547,20110930221326,
106,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,116A,,,,,V Channel,0,MGE,,,,20110916122547,20110930221326,
107,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,116C,,,,,V Channel,0,MGE,,,,20110916122547,20110930221327,
108,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,116C,,,,,V Channel,0,MGE,,,,20110916122547,20110930221327,
110,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,Private,116C,,125,,,,0,MGE,,,,20110916122547,20110930221328,
111,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,Private,116C,27,20,,,Half Round,0,MGE,,,,20110916122547,20110930221328,
112,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,EASEMENT,San Jose,116C,28,390,,,Half Round,0,MGE,,,,20110916122547,20110930221329,
113,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,Private,116C,20,20,,,V Channel,0,MGE,,,,20110916122547,20110930221330,
115,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,101C,24,540,,,V Channel,0,MGE,,,,20110916122547,20110930221331,
116,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,101D,24,,,,V Channel,0,MGE,,,,20110916122547,20110930221331,
117,Swale,,,,EXISTING,EARTH,Permanent,OVERLAND RELEASE,EASEMENT,San Jose,101D,24,1038,,,V Channel,0,MGE,,,,20110916122547,20110930221331,
122,Swale,,,,EXISTING,EARTH,Permanent,STREET DRAIN,RIGHT-OF-WAY,San Jose,129A,3,300,,,V Channel,0,MGE,,,,20110916122547,20110930221332,
508,French Drain,,,,EXISTING,DRN RCK PRF PIP,Interim,STREET DRAIN,PARK,San Jose,84B,,,,,,-1,1-16_LK_CUNNG_PK_DEST3635,,20071108000000,,20110916122547,20110930221358,
509,French Drain,,,,EXISTING,DRN RCK PRF PIP,Interim,STREET DRAIN,PARK,San Jose,84B,,,,,,-1,1-16_LK_CUNNG_PK_DEST3635,,20071108000000,,20110916122547,20110930221359,
510,French Drain,,,,EXISTING,DRN RCK PRF PIP,Interim,STREET DRAIN,PARK,San Jose,84B,,,,,,-1,1-16_LK_CUNNG_PK_DEST3635,,20071108000000,,20110916122547,20110930221359,
511,French Drain,,,,EXISTING,DRN RCK PRF PIP,Interim,STREET DRAIN,PARK,San Jose,84B,,,,,,-1,1-16_LK_CUNNG_PK_DEST3635,,20071108000000,,20110916122547,20110930221400,
512,French Drain,,,,EXISTING,DRN RCK PRF PIP,Interim,STREET DRAIN,PARK,San Jose,84B,,,,,,-1,1-16_LK_CUNNG_PK_DEST3635,,20071108000000,,20110916122547,20110930221400,
513,French Drain,,,,EXISTING,DRN RCK PRF PIP,Interim,STREET DRAIN,PARK,San Jose,84B,,,,,,-1,1-16_LK_CUNNG_PK_DEST3635,,20071108000000,,20110916122547,20110930221400,
