ST_PUMP_ID,COMPKEY,COMPTYPE,LOCATION,UNDERPASS,OWNER,QTR_PANEL,WATERWAY,MAJ_W_SHED,NU_OF_PUMP,N_CAP_GPM,NOMINAL_HP,DETAL_LINK,QUALTY_LEV,REC_DRAW,OTH_PN_CRE,OTH_PN_MOD,CONST_DATE,ACCEP_DATE,YEAR_UPGRD,AT_MOD_DAT,GE_MOD_DAT,MESSAGE
6124,,48,900' w/o west end of River Oaks Place ,,San Jose,35C,Guadalupe River,Guadalupe River,3,30070,180,,C2,0,DD-0428,DD-2276,20080226000000,,,20130102152839,20110105150504,River Oaks
22522,,48,Hedding Street Under Xing at Highway 880 ,,San Jose,82B,Guadalupe River,Guadalupe River,2,10000,30,,C2,0,D-0005,,,,,20130102145326,20110105150505,Hedding
22565,,48,N/E corner of Gold Street @ Elizabeth Street ,,San Jose,19D,Alviso Slough,Guadalupe River,4,20196,140,,C2,0,Gold Street A,,,,2003,20130102145233,20110916090131,Gold
22566,,48,E/S Hope Street 100' n/o Elizabeth ,,San Jose,19D,Alviso Slough,Guadalupe River,1,135,1,,C2,0,D-0009,,,,,20130102152425,20110925162606,Hope Street 1
77299,,48,SW Cunningham Av & Wonderama Dr,,Private,84B,Lake Cunningham,Coyote,,,,,D2,-1,1-16_LK_CUNNG_PK_LAKE0680,,19810506000000,,,20130104135053,20110326113024,
22567,,48,South End of Liberty Street ,,San Jose,34B,,,1,90,2,,C2,0,D-0010,,,,2007,20130102152556,20110925162633,Liberty
22748,,48,Lisa Lane off of Renaissance Drive ,,San Jose,35A,Guadalupe River,Guadalupe River,6,329868,5760,,C2,0,D-0014,,19910702000000,,,20130102152618,20110105150506,Oakmead
30115,,48,Airport Rocky Pond 2080 Airport Parkway,,San Jose,50D,Guadalupe River,Guadalupe River,2,28720,50,,D2,-1,89-6725,,19901231000000,,,20140310102314,20140307150827,feature corresponds to pumpstation control point in plan
33800,,48,N/S Montague Expressway w/o N. 1st Street ,,San Jose,50B,Guadalupe River,Guadalupe River,4,161568,1500,,C2,0,DD-2624,,20080410000000,,,20130102152741,20110925160407,Rincon 1
34556,,48,Guadalupe Freeway 1050' n/o Airport Parkway ,,San Jose,50D,Guadalupe River,Guadalupe River,2,3142,120,,C2,0,MGE,DD-2232,,,,20131101150539,20110105150507,Gateway
76899,,48,Charles Street,,Private,67A,Guadalupe River,Guadalupe River,,,,,D2,-1,3-12745,,20080708000000,,,20130104135043,20110105150507,
76900,,48,At the SW Corner of Hope St and Elizabeth St.,,San Jose,19D,Alviso Slough,Guadalupe River,2,133,1,,D2,-1,CPMS5566,,20050101000000,,,20140212155052,20140212155758,feature is an inlet manhole with pumps
76906,,48,Flickinger Park,,Private,51B,Coyote Creek,Coyote,,,,,D2,-1,1-16_FLCKNGER_PK_FLCK0584,,19850831000000,,,20130104135048,20110106163901,
76901,,48,N/S Trimble Road w/o N. 1st Street ,,San Jose,50D,Guadalupe River,Guadalupe River,5,269280,2675,,D2,0,MGE,,,,,20130102152805,20110105150508,Rincon 2
76903,,48,West side of Highway 87 under SE quadrant of Taylor ,,San Jose,67C,Guadalupe River,Guadalupe River,2,3200,25,,D2,0,MGE,,,,,20130102140122,20110105150508,87-Taylor
76904,,48,Skyport Ave at Airport Blvd.,,San Jose,66B,Guadalupe River,Guadalupe River,2,2600,,,D2,-1,051632,,,,,20140825130930,20140825130428,Skyport
