ZONING_ID,ZONING,ZONE_FILE,PD_USE,PD_DENSITY,DEV_AS_PD,COLOR_CODE,TOPOLOGY_VALIDATION
5892,A(PD),04001,Res,21.6,Yes,2,Yes
5893,A(PD),04001,Res,21.6,Yes,2,Yes
5894,A,,,0,,17,Yes
5895,IP,,,0,,13,Yes
5853,CN,96046,,0,,6,Yes
5854,R-2,,,0,,2,Yes
310,A(PD),87050,Res,15.1,Yes,2,Yes
5856,R-1-8,,,0,,1,Yes
411,A(PD),85072,Res,9.6,Yes,2,Yes
412,A,,,0,,17,Yes
6150,A(PD),96008,Res,7.1,Yes,1,Yes
414,R-1-5,,,0,,1,Yes
415,A(PD),81062,Res,4.3,Yes,1,Yes
6265,A(PD),88058,Res,8.6,Yes,2,Yes
50,A(PD),09028,Res,4,Yes,1,Yes
51,R-1-5,,,0,,1,Yes
56,R-1-5,,,0,,1,Yes
57,A(PD),89113,Res,6.8,Yes,1,Yes
58,R-1-5,,,0,,1,Yes
59,R-1-8,03096,,0,,1,Yes
4666,A(PD),87084,Res,7.4,Yes,1,Yes
168,CN,,,0,,6,Yes
171,CP,,,0,,5,Yes
3938,A(PD),00108,Com,0,,6,Yes
3944,R-1-8,,,0,,1,Yes
5925,A(PD),90031,Res,14.3,Yes,2,Yes
5926,A(PD),96020,OS,0,,17,Yes
314,R-1-8(PD),78075,Res,8.5,Yes,2,Yes
7992,TEC,13045,,0,,12,Yes
6510,A(PD),88073,Com,0,,6,Yes
318,R-2,,,0,,2,Yes
6511,R-1-2,,,0,,1,Yes
320,R-MH,,,0,,2,Yes
417,A,,,0,,17,Yes
418,A,,,0,,17,Yes
419,A(PD),05086,Res,9.1,Yes,2,Yes
421,R-1-5,,,0,,1,Yes
422,A,,,0,,17,Yes
6883,R-1-8,,,0,,1,Yes
483,A,,,0,,17,Yes
5087,OS,,,0,,17,Yes
6941,A(PD),07102,Res,92,Yes,3,Yes
4667,A(PD),87084,Com,0,,6,Yes
6564,A(PD),79120,PQP,0,,16,Yes
61,A,,,0,,17,Yes
63,A(PD),89060,Res,1.8,Yes,1,Yes
64,R-1-5,,,0,,1,Yes
65,R-1-5,,,0,,1,Yes
144,R-1-8(PD),69082,Res,23,Yes,2,Yes
146,CN,,,0,,6,Yes
7675,A(PD),02107,Res,1,Yes,1,Yes
247,R-1-8,,,0,,1,Yes
6641,R-1-2,06128,,0,,1,Yes
8006,LI,,,0,,14,Yes
195,A(PD),97065,Res,12.8,Yes,2,Yes
7981,CP,,,0,,5,Yes
198,R-1-8,,,0,,1,Yes
321,A(PD),80276,Res,11.5,Yes,2,Yes
6512,A(PD),00067,Res,7.5,Yes,1,Yes
5877,CO,,,0,,4,Yes
325,A(PD),05063,Res,14.4,Yes,2,Yes
326,A(PD),88026,Res,10.1,Yes,2,Yes
5878,CO,,,0,,4,Yes
5879,CP,,,0,,5,Yes
425,R-1-8(PD),71004,Res,9.1,Yes,2,Yes
6942,CP,,,0,,5,Yes
427,CO,,,0,,4,Yes
428,A,,,0,,17,Yes
7676,A(PD),96013,OS,0,,17,Yes
4408,R-1-8(PD),91042,Com,0,,6,Yes
147,R-2(PD),77240,Res,9,Yes,2,Yes
149,CG,,,0,,7,Yes
101,R-1-5,,,0,,1,Yes
102,A(PD),00126,Res,3.2,Yes,1,Yes
103,R-1-5,,,0,,1,Yes
199,A(PD),89032,Res,6.7,Yes,1,Yes
200,A(PD),85018,Res,8.6,Yes,2,Yes
4276,A(PD),01096,Res,47,Yes,3,Yes
4261,R-2,,,0,,2,Yes
6335,R-1-8,,,0,,1,Yes
204,R-M,,,0,,3,Yes
4482,A(PD),02002,Res,6.1,Yes,1,Yes
329,R-1-8(PD),70033,Res,8,Yes,1,Yes
6147,CO,,,0,,4,Yes
332,CO,,,0,,4,Yes
334,R-2,,,0,,2,Yes
335,CN,03085,,0,,6,Yes
6111,A(PD),92037,Res,24.8,Yes,2,Yes
6052,R-1-8(PD),70091,OS,0,,17,No
6063,CN,07059,,0,,6,
7249,A(PD),96073,OS,0,,17,Yes
6117,R-1-8(PD),72081,Mix,0,,18,Yes
6592,A(PD),95012,Res,12.9,Yes,2,Yes
7256,A(PD),96030,OS,0,,17,Yes
